,model,key,neuron,split,cor
0,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,0,Train,0.2860749841633328
1,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,0,Val,0.32014441083419065
2,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,0,Test,0.2863160736528402
3,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,1,Train,-0.28586664039352827
4,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,1,Val,-0.3073149425521956
5,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,1,Test,-0.248625775121326
6,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,2,Train,-0.1896713604903826
7,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,2,Val,-0.1363526492358524
8,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,2,Test,-0.163369695931909
9,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,3,Train,-0.0669208522876944
10,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,3,Val,-0.07001691015165866
11,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,3,Test,-0.08252378049114044
12,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,4,Train,-0.08812830786693994
13,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,4,Val,-0.043915985055408904
14,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,4,Test,-0.17278713962753112
15,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,5,Train,-0.3310136688728505
16,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,5,Val,-0.3362476067164506
17,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,5,Test,-0.349512669830975
18,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,6,Train,0.050892316850794546
19,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,6,Val,0.11103396374549448
20,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,6,Test,0.07260379697992071
21,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,7,Train,-0.2379242352706478
22,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,7,Val,-0.19028188504512492
23,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,7,Test,-0.24360478172964115
24,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,8,Train,-0.2598968523242613
25,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,8,Val,-0.20998337592874933
26,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,8,Test,-0.2900054239093992
27,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,9,Train,-0.13963500887992195
28,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,9,Val,-0.0869089706559157
29,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,9,Test,-0.2222660296616946
30,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,10,Train,0.12798248475239102
31,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,10,Val,0.08990807230071868
32,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,10,Test,0.06787660437860348
33,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,11,Train,0.10760409997534978
34,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,11,Val,0.12503128582734446
35,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,11,Test,0.07483117558837635
36,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,12,Train,0.11776131532503063
37,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,12,Val,0.27012586649596737
38,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,12,Test,0.14151012838744495
39,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,13,Train,0.049981516704543406
40,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,13,Val,-0.0351562238559384
41,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,13,Test,0.07562323769209403
42,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,14,Train,0.16685468516488008
43,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,14,Val,0.09884804825212852
44,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,14,Test,0.12560120445143994
45,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,15,Train,-0.17109747604529033
46,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,15,Val,-0.1378196947581281
47,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,15,Test,-0.11182061732410799
48,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,16,Train,-0.060910690990981536
49,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,16,Val,0.03510542065252241
50,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,16,Test,0.02329217536525515
51,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,17,Train,0.07543397794785074
52,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,17,Val,0.19077343829983814
53,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,17,Test,0.16496916283189544
54,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,18,Train,-0.3245498296387638
55,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,18,Val,-0.3936016389029064
56,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,18,Test,-0.3519819313679915
57,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,19,Train,-0.13443904382374533
58,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,19,Val,-0.14913598033562872
59,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,19,Test,-0.1292643740228043
60,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,20,Train,-0.052921060902313785
61,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,20,Val,0.09218727532815571
62,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,20,Test,-0.05024150659654362
63,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,21,Train,0.12248958768796703
64,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,21,Val,0.04472962128953012
65,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,21,Test,0.12751504919860765
66,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,22,Train,0.05898252162042991
67,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,22,Val,0.003174761436701925
68,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,22,Test,0.08116936573387583
69,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,23,Train,0.12649522771598495
70,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,23,Val,0.15409174347282423
71,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,23,Test,0.14880740366472917
72,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,24,Train,0.17479156756598616
73,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,24,Val,0.17176317549127976
74,config_m4_ens0,LPE09665-LPE09665_2023_03_20-0,24,Test,0.14577852878988445
