cell_id,neuron_idx
LPE10885_2023_10_20_6_0338,1912
LPE10885_2023_10_20_6_0439,2012
LPE10885_2023_10_20_5_0004,803
LPE10885_2023_10_20_4_0021,21
LPE10885_2023_10_20_4_0376,376
LPE10885_2023_10_20_5_0276,1075
LPE10885_2023_10_20_4_0039,39
LPE10885_2023_10_20_7_0149,2429
LPE10885_2023_10_20_6_0316,1891
LPE10885_2023_10_20_4_0263,263
LPE10885_2023_10_20_4_0405,405
LPE10885_2023_10_20_4_0727,704
LPE10885_2023_10_20_4_0357,357
LPE10885_2023_10_20_4_0063,63
LPE10885_2023_10_20_7_0165,2445
LPE10885_2023_10_20_5_0318,1117
LPE10885_2023_10_20_6_0223,1799
LPE10885_2023_10_20_7_0037,2319
LPE10885_2023_10_20_4_0272,272
LPE10885_2023_10_20_4_0379,379
LPE10885_2023_10_20_4_0176,176
LPE10885_2023_10_20_4_0157,157
LPE10885_2023_10_20_7_0094,2375
LPE10885_2023_10_20_5_0491,1287
LPE10885_2023_10_20_4_0133,133
LPE10885_2023_10_20_6_0421,1994
LPE10885_2023_10_20_4_0630,624
LPE10885_2023_10_20_5_0015,814
LPE10885_2023_10_20_5_0484,1280
LPE10885_2023_10_20_4_0107,107
LPE10885_2023_10_20_5_0099,898
LPE10885_2023_10_20_4_0594,592
LPE10885_2023_10_20_5_0579,1368
LPE10885_2023_10_20_5_0351,1150
LPE10885_2023_10_20_4_0008,8
LPE10885_2023_10_20_4_0097,97
LPE10885_2023_10_20_4_0410,410
LPE10885_2023_10_20_5_0787,1514
LPE10885_2023_10_20_6_0527,2093
LPE10885_2023_10_20_4_0128,128
LPE10885_2023_10_20_4_0620,615
LPE10885_2023_10_20_5_0633,1419
LPE10885_2023_10_20_4_0048,48
LPE10885_2023_10_20_6_0294,1869
LPE10885_2023_10_20_7_0013,2295
LPE10885_2023_10_20_7_0265,2543
LPE10885_2023_10_20_4_0257,257
LPE10885_2023_10_20_7_0184,2464
LPE10885_2023_10_20_5_0361,1160
LPE10885_2023_10_20_4_0792,740
LPE10885_2023_10_20_4_0125,125
LPE10885_2023_10_20_6_0021,1598
LPE10885_2023_10_20_6_0251,1827
