dataset,neuron,mean,cov,mean_std,cov_std,mean_0,mean_1,mean_2,mean_3,mean_4,cov_0,cov_1,cov_2,cov_3,cov_4,jitter_0,loc_0,jitter_1,loc_1,jitter_2,loc_2,jitter_3,loc_3,jitter_4,loc_4,jitter,loc,jitter_std,loc_std,single_trial_correlation,cell_id
Dataset 05,0,[-0.   -0.03],"[[-0.    0.03]
 [ 0.    0.02]]",[0.84 0.65],"[[0.01 0.06]
 [0.03 0.03]]",[ 1.   -0.19],[-1.   -0.99],[1. 1.],[-0.46 -0.17],[-0.55  0.22],"[[-0.    0.04]
 [ 0.    0.01]]","[[ 0.01  0.14]
 [-0.03  0.08]]","[[-0.03 -0.02]
 [ 0.05  0.02]]","[[-0.   -0.  ]
 [-0.01  0.01]]","[[ 0.01  0.01]
 [ 0.01 -0.02]]",[0.03 0.04],[ 1.03 -0.14],[0.04 0.04],[-0.96 -0.95],[-0.04  0.04],[0.96 1.04],[ 0.   -0.05],[-0.46 -0.22],[-0.05 -0.05],[-0.6   0.17],[-0.  0.],[-0.01 -0.02],[0.04 0.05],[0.83 0.64],0.50855905,LPE10885_2023_10_20_4_0000
Dataset 05,1,[-0.01 -0.02],"[[-0.    0.05]
 [ 0.03  0.02]]",[0.84 0.65],"[[0.07 0.05]
 [0.06 0.03]]",[ 1.   -0.19],[-1.   -0.99],[1. 1.],[-0.44 -0.18],[-0.59  0.26],"[[-0.02  0.02]
 [ 0.01 -0.01]]","[[0.12 0.08]
 [0.15 0.09]]","[[-0.11  0.13]
 [ 0.04  0.02]]","[[ 0.    0.01]
 [-0.02  0.01]]","[[ 0.    0.01]
 [-0.    0.01]]",[-0.04 -0.05],[ 0.96 -0.25],[-0.02 -0.  ],[-1.02 -1.  ],[ 0.04 -0.01],[1.04 0.99],[ 0.05 -0.05],[-0.38 -0.23],[-0.05 -0.02],[-0.64  0.25],[-0.   -0.03],[-0.01 -0.05],[0.04 0.02],[0.85 0.65],0.31075308,LPE10885_2023_10_20_4_0001
Dataset 05,2,[0.09 0.  ],"[[ 0.06 -0.05]
 [-0.    0.03]]",[0.79 0.65],"[[0.1  0.07]
 [0.09 0.07]]",[ 1.   -0.16],[-1.   -0.99],[1. 1.],[-0.29 -0.16],[-0.27  0.31],"[[ 0.   -0.01]
 [ 0.01 -0.01]]","[[ 0.02 -0.18]
 [ 0.13  0.  ]]","[[ 0.25 -0.07]
 [-0.15  0.18]]","[[ 0.   -0.  ]
 [ 0.   -0.01]]","[[0. 0.]
 [0. 0.]]",[ 0.03 -0.05],[ 1.03 -0.21],[-0.04  0.05],[-1.04 -0.94],[-0.05 -0.03],[0.95 0.97],[ 0.02 -0.05],[-0.26 -0.21],[0.04 0.05],[-0.23  0.36],[-0.   -0.01],[ 0.09 -0.01],[0.04 0.05],[0.79 0.64],0.71805656,LPE10885_2023_10_20_4_0002
Dataset 05,3,[ 0.05 -0.1 ],"[[-0.   -0.01]
 [-0.01  0.02]]",[0.81 0.65],"[[0.03 0.01]
 [0.05 0.06]]",[ 1.  -0.3],[-1.   -0.99],[1. 1.],[-0.35 -0.27],[-0.41  0.05],"[[ 0.02 -0.01]
 [ 0.   -0.01]]","[[-0.06 -0.03]
 [-0.11  0.14]]","[[ 0.04 -0.02]
 [ 0.03 -0.01]]","[[-0.01 -0.02]
 [ 0.   -0.01]]","[[ 0.01  0.  ]
 [ 0.   -0.  ]]",[-0.05  0.04],[ 0.95 -0.27],[ 0.04 -0.02],[-0.96 -1.01],[0.01 0.05],[1.01 1.05],[-0.05  0.01],[-0.4  -0.25],[-0.02  0.02],[-0.43  0.07],[-0.01  0.02],[ 0.03 -0.08],[0.04 0.02],[0.8  0.67],0.5290224,LPE10885_2023_10_20_4_0003
Dataset 05,4,[ 0.11 -0.03],"[[-0.01  0.03]
 [-0.01  0.03]]",[0.78 0.65],"[[0.1  0.05]
 [0.1  0.08]]",[ 1.   -0.21],[-1.   -0.99],[1. 1.],[-0.24 -0.2 ],[-0.22  0.27],"[[-0.    0.  ]
 [ 0.01  0.01]]","[[ 0.15  0.03]
 [-0.2   0.19]]","[[-0.18  0.12]
 [ 0.12 -0.03]]","[[ 0.  0.]
 [-0.  0.]]","[[-0.   -0.  ]
 [ 0.01  0.  ]]",[ 0.05 -0.  ],[ 1.05 -0.21],[-0.05 -0.05],[-1.05 -1.04],[0.03 0.02],[1.03 1.02],[-0.01 -0.01],[-0.25 -0.21],[-0.03  0.05],[-0.25  0.31],[-0. -0.],[ 0.11 -0.03],[0.04 0.03],[0.82 0.68],0.5783789,LPE10885_2023_10_20_4_0004
Dataset 05,5,[ 0.02 -0.07],"[[ 0.02  0.11]
 [-0.03 -0.08]]",[0.82 0.65],"[[0.06 0.15]
 [0.06 0.13]]",[ 1.   -0.23],[-1.   -0.99],[1. 1.],[-0.42 -0.24],[-0.47  0.13],"[[ 0.01  0.  ]
 [-0.    0.  ]]","[[-0.07  0.16]
 [ 0.02 -0.08]]","[[ 0.13  0.38]
 [-0.14 -0.32]]","[[ 0.   -0.  ]
 [-0.01  0.01]]","[[ 0.    0.01]
 [-0.01 -0.01]]",[-0.05 -0.04],[ 0.95 -0.27],[0.05 0.01],[-0.95 -0.98],[0.03 0.04],[1.03 1.04],[0.05 0.03],[-0.37 -0.21],[0.05 0.02],[-0.41  0.15],[0.03 0.01],[ 0.05 -0.05],[0.04 0.03],[0.79 0.66],0.5886995,LPE10885_2023_10_20_4_0005
Dataset 05,6,[ 0.13 -0.07],"[[ 0.01  0.02]
 [-0.05  0.02]]",[0.77 0.65],"[[0.03 0.04]
 [0.06 0.04]]",[ 1.   -0.29],[-1.   -0.99],[1. 1.],[-0.19 -0.21],[-0.16  0.14],"[[-0.02  0.01]
 [ 0.    0.01]]","[[ 0.    0.01]
 [-0.12  0.1 ]]","[[ 0.06  0.11]
 [-0.14 -0.01]]","[[-0.   -0.01]
 [-0.01  0.01]]","[[-0.  0.]
 [ 0.  0.]]",[ 0.05 -0.  ],[ 1.05 -0.29],[-0.03 -0.01],[-1.03 -0.99],[ 0.02 -0.04],[1.02 0.96],[-0.01  0.01],[-0.2  -0.19],[-0.04  0.  ],[-0.2   0.15],[-0.   -0.01],[ 0.13 -0.07],[0.03 0.02],[0.8  0.64],0.7695318,LPE10885_2023_10_20_4_0006
Dataset 05,7,[-0.03 -0.05],"[[ 0.01 -0.03]
 [-0.   -0.02]]",[0.85 0.65],"[[0.01 0.05]
 [0.01 0.02]]",[ 1.  -0.2],[-1.   -0.99],[1. 1.],[-0.55 -0.23],[-0.59  0.16],"[[ 0.02 -0.  ]
 [ 0.   -0.  ]]","[[ 0.02 -0.13]
 [ 0.01 -0.02]]","[[-0.    0.01]
 [-0.02 -0.06]]","[[-0. -0.]
 [ 0. -0.]]","[[-0.01 -0.  ]
 [-0.02 -0.01]]",[-0.05 -0.  ],[ 0.95 -0.21],[0.05 0.05],[-0.95 -0.94],[ 0.05 -0.04],[1.05 0.96],[-0.04 -0.05],[-0.6  -0.28],[-0.04 -0.01],[-0.63  0.15],[-0.01 -0.01],[-0.03 -0.06],[0.05 0.04],[0.86 0.62],0.6940939,LPE10885_2023_10_20_4_0007
Dataset 05,8,[ 0.07 -0.  ],"[[ 0.04  0.06]
 [-0.03 -0.01]]",[0.8  0.65],"[[0.08 0.17]
 [0.05 0.02]]",[ 1.   -0.17],[-1.   -0.99],[1. 1.],[-0.3  -0.15],[-0.34  0.29],"[[ 0.02 -0.01]
 [ 0.    0.  ]]","[[ 0.2  -0.06]
 [-0.03  0.01]]","[[ 0.01  0.39]
 [-0.13 -0.05]]","[[-0.   -0.  ]
 [ 0.01 -0.  ]]","[[-0.   -0.  ]
 [-0.    0.01]]",[-0.05 -0.05],[ 0.95 -0.22],[0.03 0.05],[-0.97 -0.94],[-0.04 -0.05],[0.96 0.95],[-0.05 -0.05],[-0.36 -0.2 ],[-0.05 -0.05],[-0.39  0.24],[-0.03 -0.03],[ 0.04 -0.03],[0.03 0.04],[0.78 0.62],0.57307845,LPE10885_2023_10_20_4_0008
Dataset 05,9,[0.07 0.  ],"[[ 0.02 -0.13]
 [-0.03  0.04]]",[0.8  0.65],"[[0.02 0.12]
 [0.07 0.08]]",[ 1.   -0.16],[-1.   -0.99],[1. 1.],[-0.31 -0.15],[-0.33  0.32],"[[ 0.05 -0.27]
 [ 0.02  0.06]]","[[ 0.   -0.22]
 [-0.17 -0.06]]","[[ 0.02 -0.18]
 [ 0.03  0.19]]","[[ 0.   -0.  ]
 [ 0.01  0.01]]","[[ 0.02  0.01]
 [-0.02  0.01]]",[-0.    0.03],[ 1.   -0.13],[-0.03  0.01],[-1.03 -0.98],[0.04 0.  ],[1.04 1.  ],[0.03 0.02],[-0.28 -0.13],[-0.05 -0.05],[-0.38  0.27],[-0.  0.],[0.07 0.01],[0.03 0.03],[0.82 0.64],0.5723495,LPE10885_2023_10_20_4_0009
Dataset 05,10,[ 0.07 -0.  ],"[[-0.02  0.01]
 [ 0.   -0.01]]",[0.8  0.65],"[[0.04 0.1 ]
 [0.04 0.02]]",[ 1.   -0.16],[-1.   -0.99],[1. 1.],[-0.31 -0.15],[-0.33  0.29],"[[ 0.04 -0.  ]
 [ 0.02 -0.01]]","[[-0.09  0.19]
 [ 0.07 -0.05]]","[[-0.03 -0.12]
 [-0.07 -0.01]]","[[ 0.01  0.  ]
 [-0.   -0.  ]]","[[-0.01 -0.  ]
 [-0.01  0.01]]",[-0.05  0.01],[ 0.95 -0.16],[0.04 0.05],[-0.96 -0.94],[ 0.05 -0.  ],[1.05 1.  ],[-0.05 -0.05],[-0.36 -0.2 ],[-0.05 -0.05],[-0.38  0.24],[-0.01 -0.01],[ 0.06 -0.01],[0.05 0.04],[0.8  0.63],0.49542087,LPE10885_2023_10_20_4_0010
Dataset 05,11,[0.09 0.  ],"[[-0.08  0.01]
 [ 0.02 -0.02]]",[0.79 0.65],"[[0.11 0.07]
 [0.05 0.04]]",[ 1.   -0.16],[-1.   -0.99],[1. 1.],[-0.3  -0.15],[-0.27  0.32],"[[ 0.01  0.01]
 [-0.   -0.  ]]","[[-0.15  0.14]
 [-0.03 -0.1 ]]","[[-0.27 -0.08]
 [ 0.12  0.01]]","[[-0. -0.]
 [ 0.  0.]]","[[ 0.  0.]
 [ 0. -0.]]",[-0.02 -0.05],[ 0.98 -0.21],[-0.05 -0.05],[-1.05 -1.04],[-0.05  0.05],[0.95 1.05],[-0.05 -0.05],[-0.35 -0.2 ],[-0.05 -0.05],[-0.32  0.27],[-0.05 -0.03],[ 0.04 -0.03],[0.01 0.04],[0.8  0.68],0.6685216,LPE10885_2023_10_20_4_0011
Dataset 05,12,[ 0.08 -0.01],"[[-0.01 -0.06]
 [ 0.03 -0.03]]",[0.8  0.65],"[[0.03 0.08]
 [0.07 0.04]]",[ 1.   -0.16],[-1.   -0.99],[1. 1.],[-0.3  -0.15],[-0.33  0.27],"[[ 0.01 -0.  ]
 [ 0.01  0.01]]","[[-0.06 -0.11]
 [-0.03 -0.05]]","[[ 0.01 -0.19]
 [ 0.17 -0.09]]","[[ 0.    0.01]
 [-0.01 -0.  ]]","[[ 0.    0.  ]
 [-0.01 -0.01]]",[ 0.02 -0.05],[ 1.02 -0.2 ],[0.03 0.02],[-0.97 -0.97],[ 0.04 -0.01],[1.04 0.99],[-0.01 -0.01],[-0.31 -0.16],[ 0.04 -0.05],[-0.28  0.23],[ 0.03 -0.02],[ 0.1  -0.02],[0.02 0.03],[0.8  0.64],0.51326084,LPE10885_2023_10_20_4_0012
Dataset 05,13,[ 0.05 -0.11],"[[-0.01 -0.01]
 [ 0.01  0.05]]",[0.81 0.65],"[[0.07 0.14]
 [0.04 0.07]]",[ 1.   -0.34],[-1.   -0.99],[1. 1.],[-0.34 -0.29],[-0.41  0.05],"[[-0.  0.]
 [ 0.  0.]]","[[0.06 0.2 ]
 [0.08 0.07]]","[[-0.13 -0.23]
 [-0.05  0.18]]","[[-0.   -0.01]
 [ 0.    0.  ]]","[[ 0.   -0.  ]
 [ 0.01  0.  ]]",[0.05 0.05],[ 1.05 -0.29],[ 0.05 -0.  ],[-0.95 -0.99],[0.02 0.  ],[1.02 1.  ],[0.05 0.05],[-0.29 -0.24],[0.05 0.05],[-0.35  0.1 ],[0.04 0.03],[ 0.1  -0.08],[0.01 0.03],[0.8  0.65],0.611317,LPE10885_2023_10_20_4_0013
Dataset 05,14,[-0.18 -0.1 ],"[[ 0.09 -0.06]
 [ 0.02  0.  ]]",[0.96 0.65],"[[0.15 0.08]
 [0.05 0.04]]",[ 1.   -0.23],[-1.   -0.99],[1. 1.],[-0.94 -0.33],[-0.93  0.03],"[[-0.    0.01]
 [-0.01  0.02]]","[[ 0.08 -0.08]
 [-0.02  0.06]]","[[ 0.37 -0.21]
 [ 0.11 -0.05]]","[[-0.01 -0.  ]
 [ 0.01  0.  ]]","[[-0.01 -0.01]
 [ 0.02 -0.01]]",[0.05 0.05],[ 1.05 -0.18],[-0.05  0.05],[-1.05 -0.94],[-0.05 -0.05],[0.95 0.95],[ 0.01 -0.05],[-0.93 -0.38],[ 0.05 -0.02],[-0.88  0.01],[ 0.   -0.01],[-0.17 -0.11],[0.05 0.05],[0.96 0.62],0.47686088,LPE10885_2023_10_20_4_0014
Dataset 05,15,[0.09 0.  ],"[[-0.04 -0.02]
 [ 0.02  0.03]]",[0.79 0.65],"[[0.1  0.05]
 [0.06 0.07]]",[ 1.   -0.16],[-1.   -0.99],[1. 1.],[-0.28 -0.16],[-0.25  0.32],"[[-0.    0.  ]
 [ 0.01  0.  ]]","[[-0.24  0.02]
 [ 0.13  0.17]]","[[ 0.03 -0.12]
 [-0.06 -0.04]]","[[ 0.    0.01]
 [-0.   -0.  ]]","[[-0.   -0.01]
 [ 0.   -0.  ]]",[0.05 0.05],[ 1.05 -0.11],[-0.04 -0.03],[-1.04 -1.02],[ 0.03 -0.05],[1.03 0.95],[-0.    0.04],[-0.28 -0.13],[0.05 0.05],[-0.2   0.37],[0.02 0.01],[0.11 0.01],[0.04 0.04],[0.81 0.65],0.525043,LPE10885_2023_10_20_4_0015
Dataset 05,16,[ 0.1  -0.04],"[[ 0.06 -0.  ]
 [-0.01  0.01]]",[0.79 0.65],"[[0.15 0.05]
 [0.05 0.08]]",[ 1.   -0.22],[-1.   -0.99],[1. 1.],[-0.25 -0.19],[-0.27  0.23],"[[ 0.02 -0.02]
 [-0.    0.01]]","[[-0.06  0.09]
 [ 0.06 -0.11]]","[[ 0.36 -0.07]
 [-0.1   0.14]]","[[ 0.   -0.01]
 [-0.   -0.  ]]","[[-0.  0.]
 [ 0. -0.]]",[0.   0.02],[ 1.  -0.2],[-0.03  0.05],[-1.03 -0.94],[-0.05 -0.05],[0.95 0.95],[-0.04 -0.02],[-0.29 -0.21],[0.04 0.04],[-0.23  0.27],[-0.01  0.01],[ 0.08 -0.03],[0.03 0.04],[0.78 0.62],0.61656564,LPE10885_2023_10_20_4_0016
Dataset 05,17,[0.08 0.  ],"[[ 0.02 -0.02]
 [-0.01 -0.  ]]",[0.79 0.65],"[[0.06 0.05]
 [0.04 0.02]]",[ 1.   -0.16],[-1.   -0.99],[1. 1.],[-0.3  -0.15],[-0.28  0.31],"[[ 0.   -0.01]
 [-0.01 -0.02]]","[[ 0.13  0.03]
 [-0.1   0.05]]","[[-0.04 -0.12]
 [ 0.03 -0.01]]","[[ 0.    0.01]
 [ 0.   -0.  ]]","[[ 0.    0.01]
 [ 0.01 -0.02]]",[0.   0.01],[ 1.   -0.15],[-0.05 -0.04],[-1.05 -1.03],[0.01 0.05],[1.01 1.05],[-0.   -0.04],[-0.3  -0.19],[-0.05  0.05],[-0.33  0.36],[-0.02  0.01],[0.07 0.01],[0.03 0.04],[0.81 0.68],0.2853771,LPE10885_2023_10_20_4_0017
Dataset 05,18,[ 0.09 -0.  ],"[[ 0.04  0.09]
 [ 0.02 -0.03]]",[0.79 0.65],"[[0.13 0.13]
 [0.13 0.05]]",[ 1.   -0.16],[-1.   -0.99],[1. 1.],[-0.28 -0.16],[-0.27  0.3 ],"[[ 0.02 -0.  ]
 [-0.    0.01]]","[[-0.11  0.09]
 [-0.15 -0.13]]","[[ 0.28  0.34]
 [ 0.27 -0.01]]","[[-0.01 -0.  ]
 [-0.02 -0.01]]","[[-0.    0.  ]
 [-0.   -0.01]]",[0.05 0.05],[ 1.05 -0.11],[0.04 0.05],[-0.95 -0.94],[0.01 0.02],[1.01 1.02],[0.02 0.05],[-0.26 -0.11],[0.   0.05],[-0.26  0.35],[0.03 0.04],[0.12 0.04],[0.02 0.01],[0.79 0.64],0.5074899,LPE10885_2023_10_20_4_0018
